Literal Lemma;IWN ID;MariTerm ID;IWN sense;MariT sense;Gloss S. (WM);Total S.;T. Relation S.;Malus;Bonus;MariTerm Gloss
nave militare;N#49583;N#20;1;1;0.02;17.34;13.04;-1.65;5.94;nave impiegata per scopi militari eo di guerra
imbarcazione;N#5211;N#58;1;1;0.18;12.69;11.85;-5.61;6.27;"termine generico per indicare barche di piccole e medie dimensioni  utilizzate per diversi scopi lavoro  piacere  etc
"
oggetto;N#4716;N#645;1;1;0.50;9.68;6.54;-0.66;3.30;qualunque oggetto concreto
scrittura;N#3291;N#251;4;4;1.00;7.64;5.32;-0.99;2.31;uno scritto che documenta qualcosa e che dà informazioni
bussola;N#20642;N#106;1;1;1.00;6.51;3.86;0.00;1.65;strumento che indica la direzione del punto cardinale nord e permette pertanto di conoscere la direzione di uno spostamento  rispetto a tale punto cardinale
navigazione;N#49711;N#45;3;2;1.00;6.12;3.80;-0.33;1.65;tecnica e pratica che consentono di mantanere una rotta
porto;N#17185;N#90;1;1;1.00;5.83;4.83;-2.31;2.31;luogo di scalo di navi
attività;N#16077;N#2136;1;1;1.00;5.79;3.80;-0.66;1.65;atto compiuto per uno scopo
inerente;AG#43026;AG#127;1;1;-0.03;5.75;3.79;-0.33;2.31;
unità_di_misura;N#19583;N#1177;1;1;1.00;5.51;3.85;-1.32;1.98;grandezza di paragone il cui valore viene messo uguale a uno e rispetto alla quale vengono misurate le altre grandezze con essa omogenee
cardine;N#14352;N#994;3;3;1.00;5.51;4.18;-1.32;1.65;punto cardinale
duello;N#3622;N#2096;2;2;1.00;5.27;3.61;-0.33;0.99;atto  sforzo di due o più concorrenti per vincersi  superarsi a vicenda
lavoratore;N#21747;N#482;1;1;0.36;5.25;4.56;-1.32;1.65;chi lavora nel campo della navigazione e dei trasporti navali
galleggiante;N#1223;N#379;1;1;-0.10;5.21;3.99;-0.99;2.31;qualsiasi corpo che galleggia sia fissato al fondo come boe o gavitelli  sia mobile come vari tipi d imbarcazione
cargo;N#49611;N#16;1;1;1.00;5.02;4.68;-2.97;2.31;nave adibita al trasporto di merci
attività_sportiva;N#10509;N#1901;1;1;1.00;4.73;2.41;0.00;1.32;gioco o esercizio praticato per diletto o per esibizione
mezzo;N#1554;N#2073;2;2;1.00;4.70;2.71;-0.99;1.98;qualunque mezzo di trasporto
prodotto;N#27277;N#644;1;1;1.00;4.68;2.69;-0.33;1.32;tutto ciò che gli uomini producono
organismo;N#11820;N#2023;3;1;1.00;4.33;2.34;0.00;0.99;organo  istituzione  organo  ente
roba;N#1846;N#264;2;2;1.00;3.84;3.83;-2.97;1.98;qualunque bene mobile  economicamente utile  destinato alla vendita
posizione;N#3017;N#510;2;1;1.00;3.81;2.15;-0.33;0.99;posizione all interno della gerarchia sociale  posizione all interno di una gerarchia
fenomeno_atmosferico;N#14356;N#1009;1;1;-0.10;3.75;4.18;-2.97;2.64;fenomeno fisico che concerne l atmosfera
pesce;N#26753;N#2032;1;1;1.00;3.56;1.90;0.00;0.66;animale vertebrato acquatico
strumento nautico;N#49618;N#2172;1;1;0.06;3.43;3.04;-0.99;1.32;utile per calcolare la posizione della nave e per tecniche eo operazioni di navigazione
bagaglio;N#9341;N#682;1;1;1.00;3.24;1.58;0.00;0.66;insieme degli oggetti che un viaggiatore reca con sè
insieme;N#3134;N#635;1;1;1.00;3.21;5.18;-5.94;2.97;la totalità  persone o animali o cose radunate insieme
stanga;N#1064;N#893;1;1;1.00;3.14;3.13;-2.64;1.65;barra di materiale vario
viaggio;N#24029;N#2683;1;1;1.00;3.11;1.12;0.00;0.99;trasferimento da un luogo ad un altro
nave;N#23462;N#6;1;1;0.14;3.00;11.11;-12.21;3.96;"imbarcazione di una certa grandezza che  fornita di adeguati mezzi di propulsione  è adibita al trasporto di persone e merci o che  opportunamente attrezzata e armata  è impiegata in attività belliche
"
segnalare;V#41305;V#1444;1;1;1.00;2.92;1.26;0.00;0.66;indicare per mezzo di segnali
nulla_osta;N#29240;N#516;1;1;1.00;2.91;1.58;-0.33;0.66;il documento che attesta il permesso accordato
fardello;N#15302;N#2019;1;1;1.00;2.91;1.58;-0.33;0.66;carico  involto  pacco voluminoso e pesante da portare
organizzazione;N#1174;N#2353;2;1;1.00;2.85;1.52;-0.33;0.66;complesso  gruppo organizzato
ufficio;N#1011;N#517;2;2;1.00;2.85;1.52;-0.33;0.66;insieme degli impiegati che in un determinato luogo svolgono una attività
rivestitura;N#3743;N#1180;2;2;1.00;2.70;1.04;-0.33;0.99;la cosa che si usa per ricoprire alcuni oggetti  in genere con funzione di protezione
albero;N#29490;N#88;4;1;1.00;2.68;2.67;-2.31;1.32;palo che regge le vele in una imbarcazione
scrittura;N#20872;N#530;3;1;1.00;2.58;1.58;-0.66;0.66;documento con rilevanza giuridica
spedizione;N#23912;N#231;2;1;1.00;2.48;0.82;0.00;0.66;atto dello spedire
segnalazione;N#35;N#1442;1;1;1.00;2.48;0.82;0.00;0.66;ogni comunicazione di notizie  effettuata con qualsiasi mezzo
viaggiare;V#35391;V#2684;1;1;1.00;2.48;0.82;0.00;0.66;spostarsi da un luogo all altro per lavoro  turismo  o altro
circumnavigazione;N#4792;N#782;1;1;0.49;2.40;1.58;-0.33;0.66;viaggio marittimo intorno al globo terrestre o anche intorno ad un isola o ad un continente
scalo;N#28787;N#655;1;1;1.00;2.36;1.03;-0.33;0.66;luogo in cui arrivano o da cui partono mezzi e passeggeri di aerei  navi  treni
sottufficiale;N#18201;N#2139;1;1;1.00;2.26;0.93;-0.33;0.66;militare di grado intermedio tra gli ufficiali e la truppa
dichiarazione;N#11160;N#250;3;3;1.00;2.25;1.58;-0.99;0.66;documento con il quale si dichiara
canapo;N#22505;N#649;1;1;1.00;2.20;1.20;-0.33;0.33;grossa fune di canapa
segnalazione;N#36;N#1443;2;2;1.00;2.16;0.50;0.00;0.66;messaggio  comunicazione
bussola da rilevamento;N#49631;N#293;1;1;1.00;2.15;0.82;0.00;0.33;particolare tipo di bussola magnetica  per rilevare cioè per stabilire la direzione di un qualsiasi oggetto rispetto al nord magnetico
anfibio;N#49595;N#531;4;1;1.00;2.15;0.82;0.00;0.33;veicolo in grado di muoversi sia in terra che su acqua
marina;N#22039;N#47;2;3;1.00;2.15;0.82;0.00;0.33;l insieme degli uomini  delle navi  dei mezzi della marina militare
navigazione strumentale;N#49716;N#476;1;1;1.00;2.15;0.82;0.00;0.33;la navigazione che si avvale dell ausilio di vari strumenti
pesce_volante;N#10202;N#2036;1;1;1.00;2.15;0.82;0.00;0.33;pesce che spicca salti fuori dell acqua
porto industriale;N#49659;N#94;1;1;1.00;2.15;0.82;0.00;0.33;porto al servizio di grandi complessi industriali
subcontinente;N#15023;N#2639;1;1;1.00;2.15;0.82;0.00;0.33;parte di un continente con caratteristiche peculiari
visto;N#1503;N#279;1;1;1.00;2.15;0.82;0.00;0.33;formula scritta con cui un amministrazione attesta di aver controllato un documento
visto;N#1504;N#514;2;2;1.00;2.15;0.82;0.00;0.33;autorizzazione con cui uno stato straniero rende effettiva la validità di un passaporto
aereo;AG#43952;AG#2613;3;3;1.00;2.15;0.82;0.00;0.33;che concerne l areonautica
alberatura;N#10066;N#581;1;1;1.00;2.15;0.82;0.00;0.33;insieme degli alberi pennoni e cordame di una imbarcazione a vela
albero dell'antenna;N#49701;N#955;1;1;1.00;2.15;0.82;0.00;0.33;parte superiore e più fine degli alberi nei grandi velieri
ammattare;V#40512;V#1446;1;1;1.00;2.15;0.82;0.00;0.33;chiedere aiuto inalberando segnali sulla nave
austro;N#6068;N#998;2;2;1.00;2.15;0.82;0.00;0.33;punto cardinale a sud
balla;N#23581;N#591;1;1;1.00;2.15;0.82;0.00;0.33;grosso involto di merce
bucaniere;N#4610;N#1276;1;1;1.00;2.15;0.82;0.00;0.33;pirata che nel xvii secolo praticava la guerra corsara
bussola di rotta;N#49632;N#294;1;1;1.00;2.15;0.82;0.00;0.33;bussola principale dell imbarcazione  normalmente posta davanti al timone
bussola giroscopica;N#49628;N#291;1;1;1.00;2.15;0.82;0.00;0.33;bussola che funziona indipendentemente dall azione del magnetismo terrestre e che si basa sul principio del giroscopio
bussola magnetica;N#49629;N#292;1;1;1.00;2.15;0.82;0.00;0.33;bussola che sfrutta l effetto del magnetismo terrestre  composta da uno o più aghi magnetici  liberi di ruotare  che si orientano verso il nord magnetico disponendosi parallelamente ai meridiani magnetici
calumare;V#38048;V#679;1;1;1.00;2.15;0.82;0.00;0.33;calare le funi in mare
camera;N#16316;N#593;2;1;1.00;2.15;0.82;0.00;0.33;ente  associazione  assemblea
carroponte;N#20323;N#776;1;1;1.00;2.15;0.82;0.00;0.33;gru per sollevare e trasportare grandi carichi
collettame;N#1486;N#2184;1;1;1.00;2.15;0.82;0.00;0.33;merce varia trasportata da un unico mezzo  per conto di più clienti
continentale;AG#44692;AG#2636;1;1;1.00;2.15;0.82;0.00;0.33;del continente clima
cotto;N#12714;N#2123;1;1;1.00;2.15;0.82;0.00;0.33;mattone di terracotta
ente;N#10895;N#1903;2;1;1.00;2.15;0.82;0.00;0.33;ogni organizzazione pubblica o privata
export;N#17177;N#254;1;1;1.00;2.15;0.82;0.00;0.33;l esportare
fattura;N#9099;N#255;3;3;1.00;2.15;0.82;0.00;0.33;documento che prova una vendita
franchigia;N#8106;N#256;1;1;1.00;2.15;0.82;0.00;0.33;documento che attesta una franchigia
giacenza;N#3440;N#2185;2;1;1.00;2.15;0.82;0.00;0.33;merce che giace in magazzino  in particolare non venduta
grappino;N#1467;N#680;2;1;1.00;2.15;0.82;0.00;0.33;ancorotto
import;N#6121;N#2182;1;1;1.00;2.15;0.82;0.00;0.33;l insieme delle merci importate
informativa;N#12808;N#2645;1;1;1.00;2.15;0.82;0.00;0.33;insieme di informazioni
intercontinentale;AG#44848;AG#2637;1;1;1.00;2.15;0.82;0.00;0.33;che riguarda  che mette in comunicazione e sim più continenti
navale;AG#41664;AG#10;1;1;1.00;2.15;0.82;0.00;0.33;relativo alle navi
nave a carroponte;N#49616;N#13;1;1;1.00;2.15;0.82;0.00;0.33;dispone di propri mezzi di sollevamento  scorrevoli su rotaie da poppa a prua per servire tutte le stive della nave ed in grado di operare sui due lati della nave
nave autosbarcante;N#49652;N#14;1;1;1.00;2.15;0.82;0.00;0.33;nave di modeste dimensioni destinata al trasporto di granaglie  carbone e minerali dotata di tramogge è in grado di scaricare il materiale su nastri convogliatori a terra
nave frigo;N#49661;N#18;1;1;1.00;2.15;0.82;0.00;0.33;nave con locali frigoriferi per la conservazione della merce
nave per carico secco;N#49649;N#22;1;1;1.00;2.15;0.82;0.00;0.33;nave da carico
navetta_spaziale;N#17402;N#33;1;1;1.00;2.15;0.82;0.00;0.33;navetta spaziale
navigazione astronomica;N#49713;N#473;1;1;1.00;2.15;0.82;0.00;0.33;insieme dei metodi e degli strumenti per determinare la posizione geografica mediante l osservazione degli astri e la misurazione delle loro coordinate
navigazione d'altura;N#49710;N#206;1;1;1.00;2.15;0.82;0.00;0.33;navigazione in altomare
navigazione mista;N#49712;N#207;1;1;1.00;2.15;0.82;0.00;0.33;navigazione praticata un tempo a vela e a vapore
navigazione piana;N#49714;N#474;1;1;1.00;2.15;0.82;0.00;0.33;insieme dei metodi e degli espedienti per risolvere i problemi della navigazione costiera e della navigazione stimata sulla carta nautica con l ausilio della geometria piana
navigazione stimata;N#49715;N#475;1;1;1.00;2.15;0.82;0.00;0.33;procedimento per calcolare e determinare la posizione geografica attuale in dipendenza dell ultima posizione certa
nembo;N#8727;N#1528;1;1;1.00;2.15;0.82;0.00;0.33;nube bassa  oscura  portatrice di pioggia
occaso;N#19554;N#1000;2;2;1.00;2.15;0.82;0.00;0.33;punto cardinale
ora;N#14303;N#2279;2;2;1.00;2.15;0.82;0.00;0.33;tempo misurabile dall orologio
organico;N#11682;N#1258;1;1;1.00;2.15;0.82;0.00;0.33;il complesso delle persone addette ad un servizio  in un ufficio  in un azienda  in una nave  ecc
oriente;N#6371;N#1001;1;1;1.00;2.15;0.82;0.00;0.33;punto cardinale
pescatore;N#2629;N#2031;2;2;1.00;2.15;0.82;0.00;0.33;utensile per il recupero degli attrezzi di sondaggio in caso di incidenti
peso;N#31191;N#2045;1;1;1.00;2.15;0.82;0.00;0.33;la forza che un corpo esercita per effetto della gravità terrestre
petroliera;N#49647;N#859;1;2;1.00;2.15;0.82;0.00;0.33;nave adibita al trasporto di petrolio
porto commerciale;N#49656;N#91;1;1;1.00;2.15;0.82;0.00;0.33;porto dedicato al traffico commerciale e mercantile
porto di rifornimento;N#49658;N#92;1;1;1.00;2.15;0.82;0.00;0.33;punto di sosta intermedio per navi
porto di velocità;N#49657;N#93;1;1;1.00;2.15;0.82;0.00;0.33;porto destinato al movimento dei passeggeri
porto petrolifero;N#49660;N#95;1;1;1.00;2.15;0.82;0.00;0.33;porto attrezzato per la ricezione di prodotti finiti da nave cisterna
portuale;AG#42446;AG#128;1;1;1.00;2.15;0.82;0.00;0.33;del porto
radionavigazione;N#2325;N#472;1;1;1.00;2.15;0.82;0.00;0.33;navigazione assistita via radio sia aerea che marittima
sborso;N#1664;N#253;1;1;1.00;2.15;0.82;0.00;0.33;lo sborsare
segnale;N#22954;N#220;1;1;1.00;2.15;0.82;0.00;0.33;qualsiasi oggetto o figura che serva a contrassegnare o a indicare qualcosa
serrafila;N#13320;N#564;1;1;1.00;2.15;0.82;0.00;0.33;sottufficiale o graduato che marcia in coda ad un reparto  persona che chiude una fila
buffo;N#722;N#2583;2;2;1.00;2.15;0.82;0.00;0.33;vento leggero che soffia a tratti
sottufficiale;N#18202;N#2140;2;2;1.00;2.15;0.82;0.00;0.33;grado intermedio della gerarchia militare
specialità;N#3538;N#2187;2;1;1.00;2.15;0.82;0.00;0.33;prodotto tipico ed esclusivo
tir;N#18666;N#2603;1;1;1.00;2.15;0.82;0.00;0.33;convenzione che regola il trasporto di merci su strada
tramontana;N#3367;N#1003;2;2;1.00;2.15;0.82;0.00;0.33;punto cardinale indicato dalla stella polare
trasporto;N#50477;N#2237;2;2;1.00;2.15;0.82;0.00;0.33;ogni attività che ha per scopo il trasferimento di persone o cose da un luogo all altro
ufficiale;N#6817;N#2141;3;3;1.00;2.15;0.82;0.00;0.33;grado di certi ordini della cavalleria
venduto;N#24683;N#2188;1;1;1.00;2.15;0.82;0.00;0.33;la merce venduta
nodo;N#9236;N#390;3;2;1.00;2.15;0.82;0.00;0.33;unità di misura della velocità di una nave
pescecane;N#1191;N#2037;1;1;1.00;2.15;0.82;0.00;0.33;nome di vari pesci di alcuni ordini dei selaci  dal comportamento aggrssivo e pericoloso
roulotte;N#533;N#2617;1;1;1.00;2.15;0.82;0.00;0.33;veicolo attrezzato ad abitazione
vela;N#13716;N#130;2;2;1.00;2.15;0.82;0.00;0.33;sport
grado_centesimale;N#50197;N#1893;1;1;1.00;2.15;0.82;0.00;0.33;unità di misura degli angoli corrispondente alla centesima parte di un angolo retto
formula;N#16951;N#515;1;1;1.00;2.09;0.76;0.00;0.33;insieme di parole stabilite dall uso o dalla norma ecc
pirata;N#24341;N#1309;1;1;1.00;2.09;0.76;0.00;0.33;chi corre il mare per depredare navi
simbolo;N#13824;N#1441;2;2;1.00;2.09;0.76;0.00;0.33;segno che acquisisce un valore all interno di un sistema convenzionale
calare;V#38667;V#678;2;1;1.00;2.09;0.76;0.00;0.33;far scendere lentamente
convenzione;N#10323;N#2602;2;2;1.00;2.09;0.76;0.00;0.33;patto  trattato tra stati
potenza;N#300;N#2051;4;4;1.00;2.09;0.76;0.00;0.33;capacità di un sistema di sviluppare lavoro  grandezza fisica
cadenza;N#3966;N#2281;2;2;1.00;2.05;0.72;0.00;0.33;il tempo musicale  successione regolare di unità metriche uniformii
boma;N#6331;N#103;1;1;0.88;2.03;0.82;0.00;0.33;asta imperniata sull albero di poppa  usata per mantenere tesa la vela di randa
proprietà;N#11291;N#2138;2;2;0.88;2.02;1.14;-0.33;0.33;qualità particolare  virtù propria di alcune cose
precipitazione;N#12401;N#2495;2;1;1.00;2.02;1.02;-0.99;0.99;fenomeno atmosferico
andatura in poppa;N#49634;N#784;1;1;0.87;2.02;0.82;0.00;0.33;andatura con il vento che proviene da poppa o con un approssimazione fino a 20 30 dalla poppa stessa
poppavia;N#25863;N#1583;1;1;0.87;2.02;0.82;0.00;0.33;direzione relativa verso la parte di poppa
altezza;N#10851;N#1648;1;1;0.00;2.01;2.34;-1.32;0.99;misura riferita alle stelle oppure a parti dell imbarcazione ha anche altri significati differenti a seconda del contesto
silurante;N#12758;N#27;1;1;1.00;2.01;1.01;-0.33;0.33;
torpediniera;N#16375;N#568;1;1;1.00;2.01;1.01;-0.33;0.33;nave militare
camera;N#10936;N#648;1;2;0.10;2.00;2.23;-1.65;1.32;ambiente interno  stanza  ripostiglio  deposito
ufficiale;N#6816;N#1874;2;1;1.00;1.99;0.99;-0.99;0.99;militare che ricopre un grado  da sottotenente  o da guardiamarina  in su
albero di maestra;N#49265;N#456;1;1;0.83;1.98;0.82;0.00;0.33;albero di maggiore dimensione che in genere sostiene una vela chiamata randa di maestra
motoscafo;N#22349;N#539;1;1;1.00;1.95;0.29;0.00;0.66;imbarcazione spinta da motore a scoppio
dazio;N#7590;N#246;2;2;0.80;1.95;0.82;0.00;0.33;
dazio;N#7589;N#245;1;1;0.80;1.95;0.82;0.00;0.33;
dogana;N#4322;N#252;1;1;0.80;1.95;0.82;0.00;0.33;
oceano;N#4824;N#2014;1;1;0.80;1.95;0.82;0.00;0.33;
traversata;N#18511;N#470;3;1;0.80;1.95;0.82;0.00;0.33;
pesistica;N#23181;N#2044;1;1;0.80;1.95;0.82;0.00;0.33;
remo;N#29415;N#705;1;1;0.30;1.91;0.96;0.00;0.66;asta  specialmente di legno sagomato resistente e leggero  dotata di un estremo in forma di pala che viene immerso nell acqua affinché il rematore  facendo leva sull estremo opposto  possa dare spinta propulsiva al natante
fenomeno_naturale;N#18656;N#2505;1;1;-0.03;1.90;2.26;-1.65;1.32;
bovo;N#4958;N#1938;1;1;0.71;1.86;0.82;0.00;0.33;piccolo veliero mercantile 
evento;N#8508;N#2133;1;1;-0.05;1.85;1.90;-0.66;0.66;
andatura di bolina;N#49637;N#791;1;1;0.68;1.83;0.82;0.00;0.33;andatura con il vento che proviene da una direzione che forma con la prua il minor angolo possibile  in genere 4060 gradi  
fermare;V#35902;V#651;5;5;1.00;1.83;0.50;0.00;0.33;fissare in anticipo una camera in albergo  un posto a teatro  ecc
navigabile;AG#45433;AG#36;1;1;1.00;1.83;0.50;0.00;0.33;che può essere percorso da navi
nave Roll on-Roll off;N#49653;N#25;1;1;1.00;1.82;0.82;-0.33;0.33;nave per la movimentazione di materiale rotabile  con una apertura a poppa e munita di più rampe di accesso al ponte superiore
regata;N#17364;N#729;1;1;1.00;1.82;0.82;-0.33;0.33;gara di velocità tra imbarcazioni di vario tipo
contenitore;N#20403;N#603;1;1;1.00;1.82;0.82;-0.33;0.33;oggetto che serve a contenerne altri  spec per agevolarne il trasporto
società;N#8563;N#2644;3;3;1.00;1.82;0.82;-0.33;0.33;azienda  una ditta  complesso industriale o commerciale  la ditta come insieme delle persone che la costituiscono
collo;N#7060;N#240;5;1;1.00;1.82;0.82;-0.33;0.33;bagaglio da trasportare
contratto;N#15208;N#244;1;1;1.00;1.82;0.82;-0.33;0.33;documento frutto di un accordo tra parti
navigatore;N#19404;N#42;2;2;1.00;1.82;0.82;-0.33;0.33;l ufficiale che indica la rotta da seguire sulle navi e sugli aerei
poppiero;AG#45444;AG#1586;1;1;0.66;1.81;0.82;0.00;0.33;relativo alla poppa
nube;N#2687;N#963;1;1;1.00;1.81;2.13;-2.97;1.65;ammasso di vapori che si raccolgono nell atmosfera
andatura al lasco;N#49635;N#785;1;1;0.64;1.79;0.82;0.00;0.33;andatura con il vento che proviene tra i 90 e i 150 gradi di angolatura rispetto alla prua
tempo;N#14302;N#2273;1;1;1.00;1.76;0.76;-0.33;0.33;successione illimitata di istanti in cui si svolgono gli eventi e le variazioni delle cose
gru;N#31747;N#775;2;2;1.00;1.76;0.76;-0.33;0.33;macchina per sollevare e spostare carichi
liquidazione;N#14629;N#527;1;1;1.00;1.76;0.76;-0.33;0.33;il pagamento di somme dovute  atto del pagare
nord-est;N#1936;N#999;1;1;0.61;1.76;0.82;0.00;0.33;punto cardinale intermedio
scirocco;N#4629;N#996;2;2;0.61;1.76;0.82;0.00;0.33;punto cardinale intermedio
sud-ovest;N#28361;N#1002;1;1;0.61;1.76;0.82;0.00;0.33;punto cardinale intermedio
albero di fortuna;N#49700;N#954;1;1;0.61;1.76;0.82;0.00;0.33;albero improvvisato con un fusto o palo in coperta per sostituire un albero spezzato dal vento o da una avaria
millibar;N#17817;N#1259;1;1;0.60;1.75;0.82;0.00;0.33;unità di misura della pressione atmosferica un millibar equivale a 0 76 mm della colonna di mercurio 
versamento;N#17762;N#247;3;3;1.00;1.74;0.41;0.00;0.33;l oggetto o i valori depositati
navigazione;N#28456;N#9;1;1;1.00;1.74;3.05;-3.96;1.65;il navigare
periplo;N#5584;N#2685;1;1;1.00;1.74;0.41;0.00;0.33;circumnavigazione
stivare;V#36730;V#229;1;1;0.08;1.69;0.95;0.00;0.66;sistemare il carico a bordo di una nave o di una imbarcazione
binocolo;N#15738;N#984;1;1;0.51;1.66;0.82;0.00;0.33;"visore a doppio oculare e dotato di un potere elevato di ingrandimento i più comunemente utilizzati sono i binocoli prismatici
"
insenatura;N#30695;N#1616;1;1;-0.10;1.65;1.09;-0.33;0.99;rientranza di varia profondità lungo la sponda di un corso d acqua  di un lago o del mare 
ricorso;N#1602;N#2238;4;4;0.89;1.65;0.43;0.00;0.33;luogo dove si cerca protezione  rifugio  riparo
vettore;N#29850;N#278;1;1;1.00;1.62;0.29;0.00;0.33;chi esegue il trasporto di merci o persone per conto di terzi
esportatore;N#19931;N#493;1;1;1.00;1.62;0.29;0.00;0.33;chi esporta merci all estero
diramazione;N#557;N#259;3;3;0.85;1.61;0.76;-0.33;0.33;
mattone;N#30730;N#2119;1;1;0.85;1.61;0.76;-0.33;0.33;
situare;V#32261;V#422;1;1;1.00;1.58;0.91;-0.99;0.66;porre  collocare una persona o una cosa in un determinato luogo
neve;N#21289;N#2496;1;1;0.42;1.57;0.82;0.00;0.33;precipitazione atmosferica costituita da piccole particelle di ghiaccio originate dal forte raffreddamento del vapore acqueo delle nubi  che scendono lentamente al suolo spec aggregate in fiocchi bianchi
prueggiare;V#32589;V#663;1;1;1.00;1.55;0.22;0.00;0.33;navigare di prua
piede;N#24695;N#1556;4;1;0.39;1.54;0.82;0.00;0.33;"unità di misura inglese delle lunghezze  pari a 3047 cm e  internazionalmente usata per esprimere le dimensioni di navi ed imbarcazioni
"
vascello;N#25681;N#569;1;1;1.00;1.53;0.53;-0.33;0.33;grande nave da guerra a tre ponti  tre alberi altissimi  pezzi di artiglieria e moltissime vele  in uso fino alla metà del xix secolo
prenotazione;N#23878;N#650;1;1;1.00;1.50;0.50;-0.33;0.33;atto del prenotare o del prenotarsi
anemoscopio;N#30675;N#2549;1;1;0.67;1.49;0.82;-0.33;0.33;strumento per misurare la direzione del vento
struttura;N#2910;N#2022;2;1;1.00;1.49;0.49;-0.99;0.99;cosa costruita
manovra;N#49704;N#190;6;2;1.00;1.49;0.82;-0.66;0.33;designa in modo generico qualunque cima o cavo in acciaio sull alberatura  destinato ad una precisa funzione  ma non le cime o i cavi stivati
codice;N#15777;N#239;2;2;1.00;1.49;0.82;-0.66;0.33;gruppo di numeri o di numeri e lettere che serve a identificare ogni singola entità d un dato sistema
manifesto;N#20167;N#696;3;1;1.00;1.49;0.82;-0.66;0.33;documento commerciale  relativo soprattutto ad operazioni portuali e aeroportuali
assicurazione;N#21061;N#235;2;2;1.00;1.49;0.82;-0.66;0.33;documento assicurativo
miglio;N#8702;N#1176;3;3;1.00;1.49;0.82;-0.66;0.33;unità di misura di lunghezza
sampang;N#8955;N#543;1;1;1.00;1.47;0.14;0.00;0.33;imbarcazione a remi  usata su fiumi e acque costiere nell estremo oriente
iole;N#9969;N#174;1;1;1.00;1.47;0.14;0.00;0.33;piccola imbarcazione a remi o a vela per uso costiero
baleniera;N#30193;N#67;2;2;1.00;1.47;0.14;0.00;0.33;imbarcazione a remi usata un tempo da comandanti e ammiragli
fasello;N#5202;N#169;1;1;1.00;1.47;0.14;0.00;0.33;antica imbarcazione veloce
