Literal Lemma;IWN ID;MariTerm ID;IWN sense;MariT sense;Gloss S. (WM);Total S.;T. Relation S.;Malus;Bonus;MariTerm Gloss
gomena;N#20133;N#1519;1;1;0.08;0.90;0.82;-0.33;0.33;grossa cima di tessile ritorto  utilizzata nelle navi per gli ormeggi 
baglio;N#24014;N#927;1;1;0.08;0.90;0.82;-0.33;0.33;trave che collega orizzontalmente le fiancate dell imbarcazione  per tutta la sua lunghezza e sostenendo il peso della coperta o ponte
istmo;N#8469;N#1604;1;1;0.87;0.87;0.00;0.00;0.00;striscia di terra che unisce due continenti o una penisola a un continente e separa due mari
stagno;AG#50728;AG#797;1;1;0.87;0.87;0.00;0.00;0.00;che è a perfetta tenuta d acqua o d altro liquido  ermetico
salvagente;N#21244;N#218;1;1;0.10;0.84;0.41;0.00;0.33;giubbotto contenente materiale galleggiante da indossare in navigazione
alaggio;N#31046;N#798;1;2;0.35;0.83;0.16;0.00;0.33;manovra di traino di un imbarcazione lungo fiumi  canali  bacini  ecc  mediante un cavo
barometro;N#30090;N#977;1;1;0.62;0.83;0.22;-0.33;0.33;strumento meccanico o elettronico per la misura della pressione atmosferica
fuso;N#11307;N#1388;1;1;0.00;0.82;0.82;-0.33;0.33;parte centrale e rettilinea dell ancora  alle cui estremità si trovano da una parte la cicala e dall altra le marre
marra;N#31285;N#669;1;1;0.00;0.82;0.82;-0.33;0.33;uno dei di solito due bracci curvi dell ancora 
nave_da_pesca;N#6497;N#29;1;1;1.00;0.81;0.14;-0.66;0.33;imbarcazione o nave attrezzata per la pesca
consegna;N#955;N#243;1;1;1.00;0.79;0.45;-0.99;0.33;atto del consegnare
drizza;N#31718;N#1405;1;1;-0.04;0.78;0.82;-0.33;0.33;"cima o cavo d acciaio utilizzato per alzare drizzare al loro posto vele  bandiere
o altri sistemi di coperta 
"
traghetto;N#14854;N#445;2;1;-0.10;0.78;0.88;-0.66;0.66;imbarcazione usata per traghettare
portuale;N#7622;N#129;1;1;0.16;0.78;0.29;0.00;0.33;
radiotelegrafista;N#1519;N#809;1;1;0.16;0.78;0.29;0.00;0.33;
sbarcare;V#37694;V#617;1;1;0.78;0.78;0.00;0.00;0.00;scendere a terra da una imbarcazione 
bilancella;N#15349;N#1922;1;1;0.10;0.77;0.34;0.00;0.33;piccola imbarcazione da pesca  usata soprattutto in sicilia e attrezzata con un albero a vela latina e un fiocco 
trasferire;V#35713;V#447;2;1;-0.05;0.76;1.14;-0.66;0.33;
pagaia;N#30993;N#1538;1;1;0.18;0.75;0.24;0.00;0.33;remo con le due estremità a pala  che si maneggia tenendolo al centro con entrambe le mani si usa sulle canoe e su altri natanti di tipo fluviale o balneare
chiatta;N#21253;N#381;1;1;1.00;0.75;0.41;-0.66;0.00;grosso galleggiante a fondo piatto
spinnaker;N#27439;N#1733;1;1;0.36;0.75;0.06;0.00;0.33;vela di prua di grande superficie e di tessuto leggero  viene usata con venti portanti  dal traverso fino al fil di ruota  la progenitrice di questa vela fu alzata per la prima volta su uno yacht britannico nel 1865
bulbo;N#21938;N#1010;2;1;0.00;0.74;0.41;0.00;0.33;"pesante siluro  normalmente in piombo  collocato il più in basso possibile solidarmente alla chiglia  per aumentare il momento raddrizzante dell imbarcazione sotto vela
"
alta marea;N#49708;N#744;1;1;-0.10;0.74;0.51;0.00;0.33;punto massimo della marea crescente 
bassa marea;N#49709;N#745;1;1;-0.10;0.74;0.51;0.00;0.33;punto minimo della marea calante
squero;N#8306;N#2706;1;1;-0.06;0.74;0.47;0.00;0.33;piccolo cantiere in cui un tempo la gondola veniva costruita e ricoverata in rimessaggio
galleggiamento;N#27809;N#1501;2;1;-0.10;0.73;0.50;0.00;0.33;lo stare a galla
speronare;V#33027;V#1875;1;1;0.72;0.72;0.00;0.00;0.00;colpire un altra nave con lo sperone o con la prora  incidentalmente o durante un azione di guerra
nolo;N#9198;N#820;1;3;0.22;0.72;0.50;-0.33;0.33;il noleggiare
buttafuori;N#23482;N#892;2;1;-0.10;0.72;0.82;-0.33;0.33;genericamente qualunque asta che tenga spinto verso l esterno dello scafo un qualsiasi oggetto  tipicamente una vela o una scotta
umidità;N#29639;N#2530;1;1;-0.10;0.68;0.45;0.00;0.33;presenza di acqua o di vapore acqueo nell atmosfera
bagala;N#49606;N#65;1;1;1.00;0.67;0.00;-0.33;0.00;barcone a vela  con la poppa rotonda e la pruna rasa slanciata  in uso nel mar rosso e sul nilo
accone;N#49603;N#59;1;1;1.00;0.67;0.00;-0.33;0.00;solido barcone lungo e quadrato  già usato per trasportare a bordo  rimorchiandolo  il carico e l’armamento
acido;N#1183;N#2176;1;1;1.00;0.67;0.00;-0.33;0.00;sostanza solida  liquida o gassosa che in soluzione libera cationi idrogeno
aliseo;N#10302;N#840;1;1;1.00;0.67;0.00;-0.33;0.00;vento costante che spira tutto l anno tra i due tropici e l equatore
darsena;N#10935;N#112;1;1;1.00;0.67;0.00;-0.33;0.00;parte interna del porto  dove le navi vengono riparate o custodite
deserto;N#7764;N#2625;1;1;1.00;0.67;0.00;-0.33;0.00;luogo sabbioso e caldissimo tipico di alcune regiorni africane  asiatiche e americane
mano;N#7300;N#1377;3;1;1.00;0.67;0.00;-0.33;0.00;quantità di materiale steso in modo uniforme su una superficie
marmo;N#1443;N#2049;1;1;1.00;0.67;0.00;-0.33;0.00;calcare di vario colore che deve la sua struttura a fenomeni di metamorfismo
navetta;N#17401;N#32;2;1;1.00;0.67;0.00;-0.33;0.00;veicolo che percorre continuamente nei due sensi lo stesso percorso
paese;N#16107;N#2671;1;1;1.00;0.67;0.00;-0.33;0.00;territorio con un governo sovrano e una propria organizzazione politica e amministrativa
provino;N#1427;N#594;2;1;1.00;0.67;0.00;-0.33;0.00;una piccola parte di qualcosa intesa come rappresentativa del tutto
tempo;N#14307;N#2277;7;7;1.00;0.67;0.00;-0.33;0.00;parte di uno spettacolo o di una manifestazione sportiva
tiunia;N#49601;N#537;1;1;1.00;0.67;0.00;-0.33;0.00;battello piatto  senza chiglia  di origine cinese  usato in malesia
trabaccolo;N#49597;N#533;1;1;1.00;0.67;0.00;-0.33;0.00;piccolo bastimento mercantile da carico  a 2 alberi verticali con vele  è in uso nell adriatico
tramoggia;N#49598;N#534;2;1;1.00;0.67;0.00;-0.33;0.00;grossa barca in ferro con camere d aria e con 24 porte nella carena
annegare;V#33243;V#2584;1;1;1.00;0.67;0.00;-0.33;0.00;morire per soffocamento in acqua o altro liquido
benzina;N#24638;N#2177;1;1;1.00;0.67;0.00;-0.33;0.00;liquido trasparente  volatile  infiammabile ottenuto dal petrolio
carboniere;N#49610;N#168;1;1;1.00;0.67;0.00;-0.33;0.00;piccolo bastimento per il trasporto del carbone
cemento;N#5804;N#2108;1;1;1.00;0.67;0.00;-0.33;0.00;materiale per costruzione  ottimamente resistente alla compressione
commissione;N#17327;N#241;3;1;1.00;0.67;0.00;-0.33;0.00;compenso richiesto dalle banche per alcune operazioni
fare;V#32122;V#1469;9;1;1.00;0.67;0.00;-0.33;0.00;lasciare uscire o entrare  detto specialmente di liquidi
abbrivio;N#18378;N#179;3;1;1.00;0.67;0.00;-0.33;0.00;impulso iniziale dato ad un veicolo
sigla;N#9228;N#2206;3;1;1.00;0.67;0.00;-0.33;0.00;parola formata dalle lettere iniziali di altre parole
aereo;N#677;N#2610;1;1;1.00;0.67;0.00;-0.33;0.00;velivolo a motore impiegato per il trasporto di passeggeri e di merci
affondamento;N#10461;N#2581;2;2;1.00;0.67;0.00;-0.33;0.00;il mandare a fondo  lo spingere qc sotto l acqua
albatrosso;N#49604;N#62;1;1;1.00;0.67;0.00;-0.33;0.00;tipo di nave inventata  verso la fine del ‘400  da mastro giovanni dell’arsenale di pisa
appoggio;N#49605;N#64;7;1;1.00;0.67;0.00;-0.33;0.00;veliero usato per la pesca con lo scafandro
avvisatore;N#9806;N#80;1;1;1.00;0.67;0.00;-0.33;0.00;chi avvisa
bordo;N#28178;N#82;1;1;1.00;0.67;0.00;-0.33;0.00;fianco della nave o di qualsiasi imbarcazione
buttare;V#34243;V#2114;1;1;1.00;0.67;0.00;-0.33;0.00;far cadere verso il basso
caicco;N#49609;N#167;1;1;1.00;0.67;0.00;-0.33;0.00;battello a remi  leggero e sottile  usato sul bosforo per il trasporto delle persone e  la gondola del bosforo
calcestruzzo;N#21503;N#2112;1;1;1.00;0.67;0.00;-0.33;0.00;materiale da costruzione
cessione;N#18151;N#597;1;1;1.00;0.67;0.00;-0.33;0.00;atto del cedere qualcosa a qualcuno  trasferendone la proprietà
clausola;N#14567;N#598;1;1;1.00;0.67;0.00;-0.33;0.00;disposizione di contenuto autonomo inserita in un atto giuridico
commodoro;N#16817;N#2242;1;1;1.00;0.67;0.00;-0.33;0.00;nelle marine anglosassoni  ufficiale che assume il comando di una divisione navale
continente;N#13045;N#2623;2;2;1.00;0.67;0.00;-0.33;0.00;terraferma  parte emersa di un continente
detrazione;N#18401;N#2646;4;4;1.00;0.67;0.00;-0.33;0.00;riduzione di una somma da pagare
dirigere;V#36545;V#763;2;1;1.00;0.67;0.00;-0.33;0.00;esercitare un potere
fare;V#32128;V#1473;15;2;1.00;0.67;0.00;-0.33;0.00;procacciarsi  ottenere
gettare;V#34242;V#2113;1;1;1.00;0.67;0.00;-0.33;0.00;far cadere qualcosa  con impeto e con forza  lontano da sé
granito;N#29487;N#2078;1;1;1.00;0.67;0.00;-0.33;0.00;roccia cristallina
latitudine;N#10581;N#1361;2;1;1.00;0.67;0.00;-0.33;0.00;linea immaginaria che percorre il globo parallelamente all equatore
naufrago;N#8810;N#1524;1;1;1.00;0.67;0.00;-0.33;0.00;persona caduta in mare o superstite da un naufragio
noleggiare;V#38788;V#314;1;1;1.00;0.67;0.00;-0.33;0.00;dare in noleggio
olio;N#24824;N#2178;1;1;1.00;0.67;0.00;-0.33;0.00;prodotto liquido di varia natura
ostro;N#18678;N#997;1;1;1.00;0.67;0.00;-0.33;0.00;vento umido e caldo proveniente da sud
parco_naturale;N#2558;N#2622;1;1;1.00;0.67;0.00;-0.33;0.00;territorio protetto
pesca;N#21311;N#2026;2;1;1.00;0.67;0.00;-0.33;0.00;il pescare
pistola;N#2670;N#1341;1;1;1.00;0.67;0.00;-0.33;0.00;arma da fuoco corta  che si maneggia con una sola mano
privilegio;N#11577;N#614;2;1;1.00;0.67;0.00;-0.33;0.00;diritto  vantaggio speciale
salvare;V#36010;V#742;1;1;1.00;0.67;0.00;-0.33;0.00;mettere in salvo
snodo;N#7233;N#1765;1;1;1.00;0.67;0.00;-0.33;0.00;snodatura che permette a due pezzi di muoversi con coesione
sottostare;V#33833;V#2130;1;1;1.00;0.67;0.00;-0.33;0.00;essere soggetto
studio;N#1012;N#518;5;5;1.00;0.67;0.00;-0.33;0.00;locali in cui si lavora
tempo;N#14305;N#2275;5;5;1.00;0.67;0.00;-0.33;0.00;intervallo di una certa durata che occorre per fare un azione
thalac;N#49602;N#538;1;1;1.00;0.67;0.00;-0.33;0.00;piccolo bastimento indiano
unità;N#29362;N#520;6;1;1.00;0.67;0.00;-0.33;0.00;elemento distinto  autonomo  non scomponibile
valersi;V#33469;V#2021;1;1;1.00;0.67;0.00;-0.33;0.00;servirsi  avvalersi di qualcosa per un certo scopo
veleggiatore;N#4396;N#72;1;1;1.00;0.67;0.00;-0.33;0.00;imbarcazione a vela
annegare;V#33244;V#2579;2;2;1.00;0.67;0.00;-0.33;0.00;far morire per annegamento
bolletta;N#25476;N#592;1;1;1.00;0.67;0.00;-0.33;0.00;ricevuta di un pagamento
carabottino;N#51110;N#1333;1;1;1.00;0.67;0.00;-0.33;0.00;graticolato usato come pavimento per le zone in cui si vuole che l acqua passi e scorra via
condizione;N#4813;N#601;3;1;1.00;0.67;0.00;-0.33;0.00;circostanza richiesta all interno di un patto  condizioni previste da un accordo
deserto;N#7765;N#2626;2;2;1.00;0.67;0.00;-0.33;0.00;luogo poco abitato o desolato
dragone;N#27779;N#70;2;1;1.00;0.67;0.00;-0.33;0.00;imbarcazione a vela da regata
fare scalo;V#49873;V#1475;1;1;1.00;0.67;0.00;-0.33;0.00;sostare in un porto  o in un ancoraggio
imballo;N#4700;N#257;1;1;1.00;0.67;0.00;-0.33;0.00;l imballare
mappa;N#7645;N#1134;2;1;1.00;0.67;0.00;-0.33;0.00;rappresentazione grafica di zone della superficie della terra  rappresentazione grafica in scala di zone della superficie della terra
contrarre;V#37457;V#1773;2;2;1.00;0.67;0.00;-0.33;0.00;rendere di minori dimensioni
saccoleva;N#49596;N#532;1;1;1.00;0.67;0.00;-0.33;0.00;piccolo veloce bastimento  da 3060 ton  con saccoleva  trinchetto quadro  e uno o due fiocchi usato nell arcipelago greco
star;N#3478;N#71;1;1;1.00;0.67;0.00;-0.33;0.00;imbarcazione a vela da regata
trambai;N#49599;N#535;1;1;1.00;0.67;0.00;-0.33;0.00;vaporetto in sevizio in venezia e nei dintorni vocabolo introdotto sul finire del xix secolo
velame;N#4707;N#135;2;1;1.00;0.67;0.00;-0.33;0.00;l insieme delle vele di una imbarcazione  complesso delle vele di un imbarcazione
topo;N#49600;N#536;2;1;1.00;0.67;0.00;-0.33;0.00;barchetta chioggiotta con la quale i pescatori trasportano il pesce ai luoghi di destinazione  a fondo piatto  con murate quasi verticali nella parte centrale e con prua slanciata
tribordo;N#16596;N#712;1;1;0.67;0.67;0.00;0.00;0.00;lato destro di un imbarcazione
impiombare;V#40405;V#2640;1;1;-0.04;0.66;0.70;-0.33;0.33;"unire due cavi intrecciandoli alle estremità per i legnoli
"
burchiello;N#19048;N#1923;1;1;-0.02;0.65;0.34;0.00;0.33;piccola barca a fondo piatto pwer trasporti fluviali  lagunari o lacustri
cucina;N#28804;N#1370;1;1;0.23;0.64;0.08;0.00;0.33;locale dell imbarcazione dove si conservano e si cucinano gli alimenti 
baricentro;N#21479;N#979;1;1;0.31;0.64;0.00;0.00;0.33;in un corpo o sistema di corpi  punto di applicazione della forza di gravitazione 
scotta;N#14449;N#894;1;1;0.14;0.63;0.82;-0.66;0.33;cima utilizzata per bordare e regolare le vele cazzare e lascare questa cima è fissata all angolo di scotta che è libero di orientarsi secondo il vento
aliscafo;N#30608;N#63;1;1;0.16;0.63;0.14;0.00;0.33;imbarcazione a motore che naviga planando su alip oste ai lati dello scafo raggiungendo altissime velocità
muovere;V#34891;V#1430;2;1;0.91;0.63;0.38;-0.99;0.33;togliere una cosa dal posto in cui si trova
accostata;N#5066;N#575;1;1;0.46;0.61;0.16;-0.33;0.33;spostamento della prua per effetto del timone
ancora;N#11520;N#73;1;1;1.00;0.60;1.58;-2.64;0.66;pesante arnese di ferro o acciaio che  facendo presa sul fondo  serve all ormeggio di un imbarcazione
albero di trasmissione;N#49698;N#844;2;1;0.60;0.60;0.00;0.00;0.00;albero che trasmette il moto generato dal motore all elica
disciplina;N#667;N#2711;1;1;0.92;0.59;0.00;-0.33;0.00;complesso organico e sistematico delle conoscenze che si posseggono intorno a un certo argomento
tonneggio;N#17827;N#1908;1;1;0.42;0.58;0.16;-0.33;0.33;manovra con cui si sposta una nave da un punto d ormeggio ad un altro
gozzo;N#5389;N#374;1;1;-0.10;0.57;0.34;0.00;0.33;barca con la quale i pescatori di tonni fanno la guardia sopra il bordonaro  per osservare quando vengono i tonni
allineamento;N#49705;N#845;3;1;0.53;0.53;0.00;0.00;0.00;linea che congiunge due punti fissi in mare o sulla costa  utilizzati per dare alle imbarcazioni percorsi sicuri  ad esempio per entrare in un ancoraggio o in un canale
atollo;N#17316;N#2665;1;1;0.12;0.53;0.41;0.00;0.00;isola composta da una particolare formazione di terra emersa e lagune
varare;V#40509;V#228;1;1;0.12;0.52;0.07;0.00;0.33;far discendere una nave in mare da un apposito bacino  oppure mettere in mare un imbarcazione con l ausilio di una slitta o di una gru
costeggiare;V#40907;V#662;1;1;0.29;0.51;0.22;-0.33;0.33;navigare senza allontanarsi dalla costa
gavitello;N#18412;N#101;1;1;0.39;0.47;0.41;-0.33;0.00;galleggiante di segnalazione di varia forma solidamente ancorato al fondale utilizzato specie per l ormeggio delle imbarcazioni  o nelle gare nautiche 
naufragare;V#37343;V#1522;1;1;-0.04;0.46;0.50;-0.33;0.33;"detto di imbarcazione  affondare in mare  detto di persone imbarcate  fare naufragio  a causa di danni prodotti dal mare in tempesta o da altri tipi di sinistro urti  incendi  etc 
"
pilotina;N#15799;N#541;1;1;-0.02;0.45;0.14;0.00;0.33;
piroga;N#24007;N#542;1;1;-0.02;0.45;0.14;0.00;0.33;
sandolino;N#2841;N#544;1;1;-0.02;0.45;0.14;0.00;0.33;
spedizioniere;N#28134;N#234;1;1;0.16;0.45;0.29;-0.33;0.33;
murata;N#13132;N#459;1;1;0.44;0.44;0.00;0.00;0.00;parete laterale di nave o imbarcazione  dalla linea di galleggiamento alla battagliola e  la parte emersa della fiancata
carico;N#28643;N#232;1;1;1.00;0.44;0.76;-1.65;0.33;quanto si carica su qualcosa
andare_via;V#32344;V#2269;1;1;0.76;0.43;0.00;-0.33;0.00;allontanarsi da un luogo per recarsi altrove
trave;N#17112;N#1766;1;1;1.00;0.40;0.06;-0.99;0.33;elemento delle costruzioni costituito da un tronco d albero squadrato o da analoghe strutture in acciaio o cemento armato
solcometro;N#1918;N#1729;1;1;0.39;0.39;0.00;0.00;0.00;strumento per misurare la velocità delle imbarcazioni
fiume;N#30298;N#1481;1;1;0.38;0.38;0.00;0.00;0.00;corso d acqua dolce di consistente dimensione spesso navigabile
bagnasciuga;N#5580;N#1995;2;2;0.71;0.38;0.00;-0.33;0.00; striscia di spiaggia su cui si infrangono le onde
fiocco;N#1134;N#353;4;1;0.32;0.37;0.06;-0.33;0.33;vela triangolare che si alza a pruavia dell albero verticale di prora
scandagliare;V#33261;V#904;2;1;-0.04;0.37;0.08;0.00;0.33;misurare la profondità delle acque per l ancoraggio o in navigazione
abbisciare;V#38803;V#176;1;1;0.30;0.37;0.06;-0.33;0.33;"avvolgere un cavo od una catena  ad ampie spire  in modo che possano svolgersi liberamente e scorrere senza impedimenti 
"
navigabilità;N#6947;N#37;1;1;-0.14;0.36;0.50;-0.33;0.33;
affiorare;V#36049;V#1820;1;1;0.36;0.36;0.00;0.00;0.00;l apparire in superficie di un qualsiasi oggetto immerso nell acqua
navigare;V#50003;V#2688;3;2;0.68;0.35;0.00;-0.33;0.00;"muoversi all interno di un ipertesto scegliendo un itinerario navigare in internet
"
stazione;N#8495;N#270;1;1;1.00;0.34;0.00;-0.66;0.00;complesso di edifici e di impianti in cui si svolgono tutte le operazioni relative al movimento di merci e passeggeri
sponda;N#6608;N#1996;1;1;1.00;0.34;0.00;-0.66;0.00;striscia di terra che costeggia le acque di un mare  lago o fiume
salvamento;N#11946;N#741;1;1;1.00;0.34;0.00;-0.66;0.00;complesso di operazioni per salvarechi è in pericolo
avaria;N#28589;N#237;1;1;1.00;0.34;0.00;-0.66;0.00;danno che riguarda la nave o il suo carico
comando;N#23725;N#762;1;1;1.00;0.34;0.00;-0.66;0.00;l atto del comandare
fase;N#147;N#2571;2;1;1.00;0.34;0.00;-0.66;0.00;in astron ognuno degli aspetti che assume un astro a seconda della sua posizione rispetto al sole e alla terra
marinaro;N#12638;N#52;2;2;1.00;0.34;0.00;-0.66;0.00;chi presta servizio militare in marina senza alcun grado
navigatore;N#19403;N#41;1;1;1.00;0.34;0.00;-0.66;0.00;uomo di mare
olimpiade;N#27963;N#2082;1;1;1.00;0.34;0.00;-0.66;0.00;manifestazione sportiva che si svolge ogni quattro anni
nautica;N#21912;N#1525;1;1;1.00;0.34;0.00;-0.66;0.00;arte e tecnica della navigazione
ammanco;N#9457;N#589;1;1;0.33;0.33;0.00;0.00;0.00;somma di denaro mancante per un errore contabile o per appropriazione indebita
Amerigo Vespucci;NP#49672;NP#550;1;2;0.33;0.33;0.00;0.00;0.00;veliero e nave scuola militare  fu varata il 22 febbraio 1931  a castellammare di stabia con essa la marina militare italiana effettua le campagne addestrative degli allievi ufficiali
portolano;N#14615;N#1666;1;1;0.33;0.33;0.00;0.00;0.00;libro che elenca i porti di una regione e ne descrive le coste i fondali i venti e le correnti  indispensabile per la navigazione
abbonacciare;V#51357;V#1818;2;1;0.32;0.32;0.00;0.00;0.00;il calmarsi del mare e del vento
informazione;N#13397;N#2398;1;1;0.00;0.32;0.32;-0.33;0.33;elemento o dato che permette di venire a conoscenza di qcs  notizia chiedere un informazione a qcn  dare  fornire informazioni riservate  scambio di informazioni  trovare una buona fonte di informazioni  informazioni per l utente  per i passeggeri
avvistare;V#32025;V#621;1;1;0.32;0.32;0.00;0.00;0.00;scorgere qualcosa da lontano in mare
abbattere;V#35390;V#1871;8;1;0.18;0.32;0.13;-0.33;0.33;far ruotare la nave alla fonda per mettere alla vela o riprendere il cammino
stiva;N#29724;N#221;1;1;-0.10;0.31;0.08;0.00;0.33;nelle navi è lo spazio destinato al carico delle merci
isobara;N#15928;N#1607;1;1;0.31;0.31;0.00;0.00;0.00;curva che  sulle carte metero  unisce i punti di uguale pressione atmosferica 
infrastruttura;N#27723;N#2011;1;1;0.31;0.31;0.00;0.00;0.00;insieme degli impianti e delle installazioni che permettono l espletamento di un servizio
avvolgere;V#39153;V#975;3;1;0.08;0.31;0.23;-0.33;0.33;arrotolare le vele  sia per stivarle che per disporle attorno a un sistema di coperta
cantiere;N#6746;N#717;1;1;0.57;0.29;0.38;-0.66;0.00;luogo  area in cui si trovano gli stabilimenti  impianti e macchine per la costruzione  l allestimento e il raddobbo delle navi
trireme;N#933;N#1955;1;1;0.17;0.29;0.12;-0.33;0.33;antica nave da guerra greca e fenicia
cabina;N#2021;N#1059;3;1;0.20;0.29;0.08;-0.33;0.33;"piccola camera di un imbarcazione  dotata di letti o cuccette
"
carteggio;N#50737;N#779;3;1;0.62;0.29;0.00;-0.33;0.00;procedimento per tracciare e seguire una rotta sulle carte nautiche 
abbrumare;V#39845;V#2694;1;1;0.28;0.28;0.00;0.00;0.00;detto della carena lignea delle navi  corrodersi a causa di piante e molluschi marini che vi atteschiscono
astrolabio;N#51134;N#2150;1;1;0.60;0.27;0.00;-0.33;0.00;antico strumento usato dai naviganti per determinare l altezza di un astro ull orizzonte  oggi sostituito dal sestante
scala;N#10472;N#2081;5;1;0.52;0.26;0.08;-0.66;0.33;"nel linguaggio scientifico e tecnico  successione di valori convenzionali che misurano l intensità di un fenomeno
"
aereo;AG#43950;AG#2612;1;2;0.26;0.26;0.00;0.00;0.00;pieno d aria
sicuro;AG#50721;AG#2681;4;2;0.26;0.26;0.00;0.00;0.00;che non comporta pericoli
radiogoniometro;N#28968;N#1739;1;1;0.25;0.25;0.00;0.00;0.00;strumento in grado di rilevare le onde radio emesse da un radiofaro  per rilevare da bordo la direzione di un radiofaro e quindi ottenere informazioni utili per la navigazione costiera
diamante;N#17057;N#1385;2;1;0.58;0.25;0.00;-0.33;0.00;parte terminale del fuso dell ancora dal quale si dipartono le marre 
abbittare;V#37023;V#577;1;1;0.56;0.23;0.00;-0.33;0.00;legare un cavo o una catena a una bitta
lino;N#9923;N#724;2;1;0.56;0.23;0.00;-0.33;0.00;fibra tessile ricavata dalla pianta del lino
idrostatica;N#31061;N#1569;1;1;0.23;0.23;0.00;0.00;0.00;"branca della fisica che studia il comportamento dei corpi immersi e le relative caratteristiche di galleggiabilità
"
trimarano;N#19777;N#946;1;1;0.08;0.23;0.14;-0.33;0.33;imbarcazione a vela formata da uno scafo centrale e due laterali più piccoli  paralleli e simmetrici  uniti con traverse metalliche o in vetroresina  allo scafo centrale
fortunale;N#3095;N#2094;2;2;0.15;0.23;0.41;-0.33;0.00;raro  gravissime devastazioni  onde enormi ed alte  che possono nascondere navi di media stazza  ridotta visibilità velocità del vento 103117 km orari grado 11 della scala beaufort
canapa;N#27308;N#723;2;1;0.55;0.22;0.00;-0.33;0.00;fibra tessile che si ricava dalla pianta usata per fabbricare cavi e  in passato  anche vele
vela;N#24097;N#131;1;1;0.07;0.22;2.80;-4.62;1.98;ciascuno dei teli disposti verticalmente a bordo dei velieri in modo da ricevere la pressione del vento per utilizzarla come forza motrice
idrodinamica;N#20594;N#1564;1;1;0.22;0.22;0.00;0.00;0.00;branca della fisica che studia il moto dell acqua e l effetto prodotto dal movimento dei corpi immersi
